ID,Task Name,Description,Category,Phase,Week,Priority,Status
BUG-13,Rename migration prefix,Rename supabase/migrations/002_fix_rls_recursion.sql to 003_fix_rls_recursion.sql to fix ambiguous apply order,Database,1 - Fix Foundations,1,Critical,Pending
BUG-1,Create event_registrations table,"Add missing event_registrations table: id, event_id→events, user_id→profiles, registered_at, UNIQUE(event_id+user_id). Include in Migration 004",Database,1 - Fix Foundations,1,Critical,Pending
BUG-2,Create content_completions table,"Add missing content_completions table: id, content_id→academy_content, user_id→profiles, completed_at, UNIQUE(content_id+user_id). Include in Migration 004",Database,1 - Fix Foundations,1,Critical,Pending
BUG-4,Create case_code_seq and next_case_code() RPC,Create PostgreSQL sequence case_code_seq and next_case_code() function in Migration 004. App code must call supabase.rpc('next_case_code') instead of Math.random(),Database,1 - Fix Foundations,1,Critical,Pending
DB-1,Add created_by column to profiles,"ALTER TABLE profiles ADD COLUMN created_by UUID REFERENCES profiles(id) — tracks which COMMERCIAL created a sub-user. Include in Migration 004",Database,1 - Fix Foundations,1,High,Pending
DB-3,Create suggestions table,"CREATE TABLE suggestions: id, user_id→profiles CASCADE, subject, content, status (pending/reviewed/resolved), admin_reply, timestamps. Include in Migration 004",Database,1 - Fix Foundations,1,High,Pending
DB-4,Add RLS policies for suggestions table,"Partners: INSERT own + SELECT own. ADMIN/COMMERCIAL: SELECT all + UPDATE status + admin_reply. Include in Migration 004",Database,1 - Fix Foundations,1,High,Pending
DB-6,Create comments table,"CREATE TABLE comments: id, content, author_id→profiles CASCADE, entity_type, entity_id, parent_id→comments CASCADE, mentions UUID[], is_edited, edited_at, timestamps. Include in Migration 004",Database,1 - Fix Foundations,1,High,Pending
DB-7,Add RLS policies and indexes for comments table,"RLS: any auth user SELECT; auth users INSERT own; author UPDATE/DELETE own; ADMIN DELETE any. Indexes: idx_comments_entity(entity_type+entity_id) + idx_comments_author(author_id)",Database,1 - Fix Foundations,1,High,Pending
CROSS-1,Apply Migration 004,"Apply supabase/migrations/004_missing_tables.sql — contains: event_registrations, content_completions, case_code_seq, next_case_code(), suggestions, comments, created_by column",Database,1 - Fix Foundations,1,Critical,Pending
BUG-3,Remove duplicate case_history insert,"In src/lib/data/admin.ts updateCase(): remove the manual INSERT INTO case_history — the log_case_status_change() DB trigger already handles this, causing duplicate rows per status change",Bug Fix,1 - Fix Foundations,1,Critical,Pending
BUG-7,Fix accessRequests.ts inline role check,"Replace all manual role checks in src/lib/data/accessRequests.ts with requireRole(['ADMIN', 'COMMERCIAL']) from src/lib/auth/guards.ts",Bug Fix,1 - Fix Foundations,1,Critical,Pending
BUG-9,Create notifications/page.tsx,"Create src/app/[locale]/(dashboard)/notifications/page.tsx — the folder and error/loading files exist but page.tsx is missing, causing the notification bell link to render a blank page",Bug Fix,1 - Fix Foundations,1,High,Pending
BUG-11,Fix hardcoded hex colors in CaseFilters,"In src/components/cases/CaseFilters.tsx: replace all hardcoded hex values with CSS variables (var(--primary) etc.) to support dark/light themes",Bug Fix,1 - Fix Foundations,1,Low,Pending
